"","F238","F256","F262","F175","FB78","F146","F198","F142","F276","1651","CTS4","F165","F246","RTM4","F237","F239","F153","FB15","F236","F284","FB02","FB27","BOXR","F164","F242","F258","FB20","ULYS","F209","F159","F233","F222","F220","F228","C114","F179","FB11","F187","F197","F243","F270","F280","FB90","1092","1316","F109","F131","1231","F123","F199","F266","F254","FB44","F110","SOLB","WLET","C258","C935","F221","F252","FB25","F108","F194","SCSM","LNLD","STE1","TNBP","F264","F196","F268","ORNG","F234","F247","1315","FB10","FB66","1753","F278","FB07","C548","C655","FB54","FB65","PSDQ","1253","F125","F148","HOV2","HOVC","1511","F151","F126","F162","F227","F272","F138","F213","F241","F133","F245","HAIR","HLP4","F135","C555","F282","FB33","FB55","F128","FB92","F173","F250","F137","F235","C874","FB87","B053","F224","RTM5","RTMW","1494","DAB1","DABL","PSC3","F205","MPTB","RY34","BRD3","C798","FB79","F207","C835","DAFT","F248","JOSC","FB28","C911","F217","TDTC","ULY2","1673","1711","AMV1","AMVM","F167","F171","LNL1","FB35","SCS1","HWK3","IKN2","4C4C","HBM3","HBMB","F190","HOVA","ZELD","ZEL2","2253","F223","F225","LNCC","WENT","F113","F274","F178","F188","NIP2","BIK2","BIKO","MTBG","MUC4","MUCH","2193","F219","1495","F149","F229","LNPF","2151","F215","F232","F155","PSC6","F211","AMTS","PRST","TKID","C834","F182","F154","F102","HIQQ","SCS2","CMRS","LNC2","LNPC","ULY3","MLVN","JETY","F240","1414","C912","C991","F141","F176","F185","HITS","1134","1317","FRN3","FRNG","HSN4","HSNS","F114","1454","LIZ1","STEW","MORN","GRGO","HSN3","B207","OIEA","PRF2","YOKE","ZEDC","1992","BKHO","BNST","PHL2","CATW","LIZD","PRFR","MJM2","F158","F231","1791","2091","4NIC","BNDS","BTWO","CASA","CENT","HAAK","HVT1","HVTI","J001","NIGT","PMTI","BUBB","GPHK","VCRO","BOO3","BOOT","PNB3","PNBT","UND2","UNDG","VSTH","YANK","RTM3","JPJK","GADG","PFYT","PIHI","RNMK","HVMS","CW32","CWM3","HBM4","MANT","HMLC","BBLN","HOKA","TRIM","1593","DAB2","C330","PSC5","TCT1","1456","F180","HMLT","M145","MEAD","MIDF","MTSS","Q5LA","BLNK","HLPC","B023","LDM3","SIMP","TDTL","2152","2194","SGL1","ATMM","BASH","GRW2","B531","1496","FZJS","NYDT","TCTV","2231","CL-4942","ENM2","LBHL","R27L","MORB","NKAL","SQBT","LYFN","TRIF","1674","KNNN","F193","BRAN","BRN1","NADW","MFLC","GUPN","MM72","LWHP","RTM2","GRWW","JBAK","WLDC","RCNM","DAIN","1556","F249","BBRD","L108","PHIL","FFCH","SPEG","CRUM","LLLN","SNOT","BARE","NEWT","OCTV","LCKL","WRTH","QECD","WTKN"
"LNLD",39,43,41,69,52,63,42,53,51,36,22,37,52,30,39,39,37,39,40,46,39,45,36,45,47,48,50,26,55,66,56,56,31,45,56,89,56,67,72,71,50,65,50,53,57,59,71,70,70,47,58,33,33,33,30,25,49,40,45,44,49,26,24,26,0,23,23,37,51,51,23,35,68,47,41,28,43,43,43,75,61,76,61,25,45,45,67,23,22,49,48,28,28,44,48,73,69,59,61,62,35,36,62,72,61,71,71,48,46,54,57,55,44,30,30,33,25,25,26,30,27,35,21,29,29,38,22,38,40,52,30,23,28,20,28,35,37,36,30,23,20,20,21,26,24,5,29,19,36,27,29,22,24,24,22,23,24,30,29,28,34,30,53,44,46,46,25,25,25,26,25,25,30,28,25,26,41,27,43,66,40,63,23,41,21,21,21,43,42,23,27,27,25,32,28,28,24,22,22,24,24,28,29,24,39,21,30,51,64,47,47,24,24,27,22,21,22,22,23,22,23,24,25,22,23,39,23,21,21,20,22,20,22,22,20,52,44,20,20,20,21,22,20,23,24,21,23,22,23,21,21,22,22,23,23,22,23,22,23,26,20,20,23,22,22,21,24,24,23,22,21,20,20,21,46,30,51,21,23,24,20,22,24,20,20,20,20,21,24,25,24,22,31,54,25,21,22,22,21,27,24,21,19,23,27,21,20,20,21,20,21,20,21,21,23,20,23,26,26,21,19,21,20,20,22,21,20,20,20,20,28,20,20,19,22,20,22,21,20,20,20,21,20,20,20,20,20
"STE1",26,30,30,56,39,50,29,40,38,23,9,24,39,17,26,26,24,26,27,35,26,34,23,32,34,35,37,13,42,53,43,43,18,32,43,76,43,54,59,58,37,52,37,40,44,46,58,57,57,34,45,22,22,22,19,12,36,27,32,31,36,13,11,13,23,0,8,24,38,38,10,22,55,34,28,15,30,30,30,62,48,63,48,12,32,32,54,10,9,36,35,15,15,31,35,60,56,46,48,49,22,23,49,59,48,58,58,35,33,41,44,42,31,19,19,20,12,12,13,17,14,22,8,16,20,25,9,25,27,39,19,10,17,7,15,22,24,23,17,20,11,21,24,21,15,20,16,26,23,14,16,9,11,11,9,10,11,17,16,15,21,17,40,31,33,33,8,12,12,13,12,12,17,15,12,13,28,14,30,53,27,50,10,28,10,10,10,30,29,10,14,14,20,19,15,15,11,13,11,11,11,15,16,11,26,8,17,38,51,34,34,11,11,12,9,8,7,9,16,9,10,7,6,9,8,26,10,6,8,7,9,7,9,9,7,39,31,7,7,9,8,11,7,10,11,8,10,9,10,8,8,9,9,10,10,9,10,9,10,13,9,7,10,9,9,8,11,11,10,9,8,7,7,8,33,17,38,8,10,11,7,9,11,7,7,7,7,8,11,12,11,9,18,41,12,8,9,9,8,14,11,10,12,10,14,10,7,7,8,7,8,7,8,8,12,7,10,13,13,10,8,8,7,7,9,8,7,7,7,7,15,7,9,8,9,7,9,8,7,7,7,8,7,7,7,7,7
"TNBP",24,28,28,54,37,48,27,38,36,21,7,22,37,15,24,24,22,24,25,33,24,32,21,30,32,33,35,11,40,51,41,41,16,30,41,74,41,52,57,56,35,50,35,38,42,44,56,55,55,32,43,20,20,18,17,10,34,25,30,29,34,11,9,11,23,8,0,22,36,36,8,20,53,32,26,13,28,28,28,60,46,61,46,10,30,30,52,8,7,34,33,13,13,29,33,58,54,44,46,47,20,21,47,57,46,56,56,33,31,39,42,40,29,17,17,18,10,10,11,15,12,20,6,14,18,23,7,23,25,37,17,8,15,5,13,20,22,21,15,18,9,19,22,19,13,18,14,24,21,12,14,7,9,9,7,8,9,15,14,13,19,15,38,29,31,31,8,10,10,11,10,10,15,13,10,11,26,12,28,51,25,48,8,26,8,8,8,28,27,8,12,12,18,17,13,13,9,11,9,9,9,13,14,9,24,6,15,36,49,32,32,9,9,10,7,6,5,7,14,7,6,7,8,7,4,24,10,6,6,5,7,5,7,7,5,37,29,5,5,7,6,9,5,10,11,6,8,7,8,6,6,7,7,8,8,7,8,7,8,11,7,5,8,7,7,6,9,9,8,7,6,5,5,6,31,15,36,6,10,9,5,7,9,5,5,5,5,6,9,10,9,7,16,39,10,6,7,7,6,12,9,8,10,8,12,8,5,5,6,5,6,5,6,6,10,5,8,11,11,8,6,6,5,5,7,6,5,5,5,5,13,5,7,6,7,5,7,6,5,5,5,6,5,5,5,5,5
"F264",36,42,40,68,51,62,41,52,50,35,21,36,51,29,38,38,32,34,39,47,38,46,35,44,46,47,49,25,54,65,55,55,30,44,55,88,55,66,71,70,49,64,49,52,56,58,70,69,69,44,57,34,34,34,31,24,46,29,34,37,46,25,23,25,37,24,22,0,50,50,22,34,67,46,40,27,42,42,42,74,60,75,60,24,44,44,66,22,21,48,47,27,27,43,47,72,68,58,60,61,34,35,61,71,60,70,70,47,45,53,56,54,43,31,31,32,24,24,25,29,26,34,20,28,32,37,21,35,37,51,31,22,29,19,27,34,36,35,29,32,23,33,36,33,27,32,28,36,35,26,28,21,23,23,21,22,23,29,28,27,33,29,52,43,45,45,24,24,24,25,24,24,29,27,24,25,40,26,42,65,39,62,22,40,22,22,22,42,41,22,26,26,32,31,27,27,23,23,21,23,23,27,28,23,38,20,29,50,63,46,46,23,23,26,21,20,21,21,28,21,22,23,24,21,22,36,24,20,20,19,21,19,21,21,19,51,43,19,19,21,20,23,19,24,25,20,22,21,22,20,20,21,21,22,22,21,22,21,22,25,21,19,22,21,21,20,23,23,22,21,20,19,19,20,45,29,50,20,24,23,19,21,23,19,19,19,19,20,23,24,23,21,30,53,24,20,21,21,20,26,23,22,24,22,26,22,19,19,20,19,20,19,20,20,24,19,22,25,25,22,20,20,19,19,21,20,19,19,19,19,27,19,21,20,21,19,21,20,19,19,19,20,19,19,19,19,19
"F196",52,56,56,80,65,76,53,58,56,49,35,50,61,43,48,48,50,50,47,55,46,52,45,54,56,55,57,39,68,79,69,69,44,58,67,98,67,76,85,84,61,78,61,64,70,70,84,81,81,60,69,48,48,48,45,38,52,53,58,57,52,39,37,39,51,38,36,50,0,0,34,48,79,60,54,41,56,54,54,88,70,89,70,38,58,58,80,36,35,62,61,41,41,57,59,82,80,72,74,75,48,49,69,83,72,80,82,57,53,63,68,68,57,45,45,46,36,38,39,43,40,48,34,42,46,51,35,51,53,63,45,36,43,33,41,48,50,49,43,46,37,47,50,47,41,46,42,52,49,40,40,35,37,37,35,36,35,43,42,41,47,43,64,55,59,59,38,38,38,39,38,38,43,41,38,39,54,40,56,79,53,72,36,52,36,36,36,48,47,36,40,40,46,45,41,41,37,39,37,37,37,39,40,37,52,34,43,62,77,60,60,37,37,40,35,34,35,35,42,35,36,37,38,35,36,52,38,34,34,33,35,33,35,35,33,65,57,33,33,35,34,37,33,38,39,34,36,35,36,34,34,35,35,36,36,35,36,35,36,39,35,33,36,35,35,34,37,37,36,35,34,33,33,34,59,43,62,34,38,37,33,35,37,33,33,33,33,34,35,38,37,35,40,67,38,34,35,35,34,40,37,36,38,36,40,36,33,33,32,33,32,33,34,32,38,31,36,39,39,36,34,34,33,33,35,34,33,33,33,33,41,33,35,34,35,33,35,34,33,33,33,34,33,33,33,33,33
"F268",52,56,56,80,65,76,53,58,56,49,35,50,61,43,48,48,50,50,47,55,46,52,45,54,56,55,57,39,68,79,69,69,44,58,67,98,67,76,85,84,61,78,61,64,70,70,84,81,81,60,69,48,48,48,45,38,52,53,58,57,52,39,37,39,51,38,36,50,0,0,34,48,79,60,54,41,56,54,54,88,70,89,70,38,58,58,80,36,35,62,61,41,41,57,59,82,80,72,74,75,48,49,69,83,72,80,82,57,53,63,68,68,57,45,45,46,36,38,39,43,40,48,34,42,46,51,35,51,53,63,45,36,43,33,41,48,50,49,43,46,37,47,50,47,41,46,42,52,49,40,40,35,37,37,35,36,35,43,42,41,47,43,64,55,59,59,38,38,38,39,38,38,43,41,38,39,54,40,56,79,53,72,36,52,36,36,36,48,47,36,40,40,46,45,41,41,37,39,37,37,37,39,40,37,52,34,43,62,77,60,60,37,37,40,35,34,35,35,42,35,36,37,38,35,36,52,38,34,34,33,35,33,35,35,33,65,57,33,33,35,34,37,33,38,39,34,36,35,36,34,34,35,35,36,36,35,36,35,36,39,35,33,36,35,35,34,37,37,36,35,34,33,33,34,59,43,62,34,38,37,33,35,37,33,33,33,33,34,35,38,37,35,40,67,38,34,35,35,34,40,37,36,38,36,40,36,33,33,32,33,32,33,34,32,38,31,36,39,39,36,34,34,33,33,35,34,33,33,33,33,41,33,35,34,35,33,35,34,33,33,33,34,33,33,33,33,33
"ORNG",24,28,28,54,37,48,27,38,36,21,7,22,37,15,24,24,22,22,25,33,24,32,21,30,32,33,35,11,40,51,41,41,16,30,41,74,41,52,57,56,35,50,35,38,42,44,56,55,55,32,43,20,20,20,17,10,34,25,30,29,34,11,9,11,23,10,8,22,34,34,0,20,53,32,26,13,28,28,28,60,46,61,46,10,30,30,52,8,7,34,33,13,13,29,33,58,54,44,46,47,20,21,47,57,46,56,56,33,31,39,42,40,29,17,17,18,10,10,11,15,12,20,6,14,18,23,7,23,25,37,17,8,15,5,13,20,22,21,15,18,9,19,22,19,13,18,14,24,21,12,14,7,9,9,7,8,9,15,14,13,19,15,38,29,31,31,10,10,10,11,10,10,15,13,10,11,26,12,28,51,25,48,8,26,8,8,8,28,27,8,12,12,18,17,13,13,9,11,9,9,9,11,12,9,24,4,15,36,49,32,32,9,9,12,7,6,7,7,14,7,8,9,10,7,8,24,10,6,6,5,7,5,7,7,5,37,29,5,5,7,6,9,5,10,11,6,8,7,8,6,6,7,7,8,8,7,8,7,8,11,7,5,8,7,7,6,9,9,8,7,6,5,5,6,31,15,36,6,10,9,5,7,9,5,5,5,5,6,9,8,9,7,16,39,10,6,7,7,6,12,9,8,10,8,12,8,5,5,6,5,6,5,6,6,10,5,8,11,11,8,6,6,5,5,7,6,5,5,5,5,13,3,7,6,7,5,7,6,5,5,5,6,5,5,5,5,5
"F234",16,38,40,66,49,60,39,50,48,33,19,34,49,27,36,36,34,36,35,45,34,44,33,42,44,43,45,23,52,63,53,51,28,42,53,86,53,64,69,68,45,62,45,50,54,56,68,65,65,42,53,32,32,30,27,22,46,37,42,39,46,23,21,23,35,22,20,34,48,48,20,0,65,44,36,23,40,40,40,72,58,73,58,22,38,38,62,20,19,44,43,25,25,41,43,70,64,56,58,59,32,33,59,69,54,68,68,45,43,49,50,50,41,29,29,28,22,22,23,27,24,30,18,26,30,35,19,35,37,45,25,20,25,17,25,32,34,33,27,30,21,31,34,31,23,30,26,36,31,16,26,19,21,21,19,20,21,27,26,25,31,27,50,39,41,41,22,22,22,23,22,22,23,25,22,23,38,24,40,63,35,60,20,36,20,20,20,38,37,20,24,24,30,29,25,25,21,23,21,21,21,25,26,21,36,18,27,48,61,44,44,21,21,24,19,18,19,19,26,19,20,21,22,19,20,36,22,18,18,17,19,17,19,19,17,49,41,17,17,19,18,21,17,22,23,18,20,19,20,18,18,19,19,20,20,19,20,19,20,23,19,17,20,19,19,18,21,21,20,19,18,17,17,18,43,25,48,18,22,21,17,19,21,17,17,17,17,18,21,22,21,19,28,51,22,18,19,19,18,24,21,20,22,20,24,20,17,17,18,17,18,17,18,18,22,17,20,23,23,20,18,18,17,17,19,18,17,17,17,17,25,17,19,18,17,17,19,18,17,17,17,18,17,17,17,17,17
"F247",65,69,71,1,80,93,72,81,79,66,52,67,82,60,69,69,65,67,68,78,69,77,66,75,77,76,78,56,81,88,84,86,61,75,82,109,82,95,102,101,80,95,80,79,87,85,93,94,94,61,82,63,63,63,62,55,77,64,73,70,77,56,54,56,68,55,53,67,79,79,53,65,0,75,69,56,61,73,73,105,91,106,91,55,65,65,97,53,52,77,76,58,58,74,76,101,95,87,91,92,65,66,92,98,89,101,97,78,74,82,87,85,74,62,62,63,55,55,56,60,57,65,51,57,63,68,52,68,70,76,62,53,60,50,58,65,67,66,60,63,54,64,67,64,58,63,59,69,64,57,59,52,54,54,52,53,50,60,59,58,64,60,83,72,76,76,55,55,55,56,55,55,60,58,55,56,71,57,73,94,70,87,53,69,53,53,53,69,68,53,57,57,63,62,58,58,54,56,54,54,54,58,59,54,69,51,60,81,88,75,75,54,54,57,52,51,52,52,59,52,53,54,55,52,53,59,55,51,51,50,52,50,52,52,50,74,70,50,50,52,51,54,50,55,56,51,53,52,53,51,51,52,52,53,53,52,53,52,53,56,52,50,53,52,52,51,54,54,53,52,51,50,50,51,70,60,81,51,55,54,50,52,54,50,50,50,50,51,54,55,54,52,61,82,55,51,52,52,51,57,54,53,55,53,57,53,50,50,51,50,51,50,51,51,55,50,53,56,56,53,51,51,50,50,52,51,50,50,50,50,58,50,52,51,52,50,52,51,50,50,50,51,50,50,50,50,50
"1315",44,28,32,76,59,72,51,62,60,45,31,46,55,39,48,48,44,46,49,57,48,56,45,54,56,57,59,35,64,75,65,65,40,54,65,96,65,76,81,80,57,74,57,62,66,68,80,79,79,52,51,44,44,44,41,34,56,41,54,43,56,35,33,35,47,34,32,46,60,60,32,44,75,0,50,37,36,52,52,84,70,85,70,34,48,48,76,32,31,58,57,37,37,53,55,82,76,62,70,71,44,45,71,79,70,80,78,57,55,63,66,64,53,41,41,42,34,34,35,39,36,44,30,38,42,47,31,41,43,51,41,32,39,29,37,44,46,45,39,42,33,43,46,43,37,42,38,48,43,34,38,31,33,33,31,32,33,39,38,37,43,39,62,53,55,55,34,34,34,35,34,34,39,37,34,35,50,36,52,75,45,72,32,50,32,32,32,52,51,32,36,36,42,41,37,37,33,35,33,33,33,37,38,33,48,30,39,60,73,56,56,33,33,36,31,30,31,31,38,31,32,33,34,31,32,44,34,30,30,29,31,29,31,31,29,61,53,29,29,31,30,33,29,34,35,30,32,31,32,30,30,31,31,32,32,31,32,31,32,35,31,29,32,31,31,30,33,33,32,31,30,29,29,30,55,39,60,30,34,33,29,31,33,29,29,29,29,30,33,34,33,31,40,63,34,30,31,31,30,36,33,32,34,32,36,32,29,29,30,29,30,29,30,30,34,29,32,35,35,32,30,30,29,29,31,30,29,29,29,29,37,29,31,30,31,29,31,30,29,29,29,30,29,29,29,29,29
"FB10",38,44,46,70,55,66,45,56,54,39,25,40,55,33,42,42,40,42,43,49,42,48,39,48,50,51,53,29,58,69,59,59,34,48,59,92,59,66,73,72,53,66,53,56,60,62,74,73,73,48,59,38,38,36,33,28,52,43,48,47,52,29,27,29,41,28,26,40,54,54,26,36,69,50,0,13,44,44,44,76,62,77,62,28,48,48,70,26,25,52,51,31,31,47,49,76,70,62,64,65,36,37,57,73,64,74,72,51,49,53,56,58,47,35,35,36,28,28,29,33,26,36,22,32,36,41,25,41,43,47,35,26,33,23,31,38,40,39,33,36,27,37,40,37,31,36,32,42,39,30,30,25,27,27,25,26,27,33,32,31,37,33,54,47,49,49,28,28,28,29,28,28,33,29,28,29,44,30,46,69,41,66,26,44,26,26,26,46,45,26,30,30,36,35,31,31,27,29,27,27,27,31,32,27,40,24,33,52,67,50,50,27,27,30,25,24,25,25,32,25,26,27,28,25,26,42,28,24,22,23,25,23,25,25,23,55,47,23,23,25,24,27,23,28,29,24,26,25,26,24,24,25,25,26,26,25,26,25,26,29,25,23,26,25,25,24,27,27,26,25,24,23,23,24,49,33,54,24,26,25,23,25,25,23,23,23,23,24,27,28,27,25,34,57,26,24,25,25,24,30,27,26,28,24,30,26,23,23,24,23,24,23,24,24,28,23,26,29,29,26,24,24,23,23,25,24,23,23,23,23,31,23,25,24,25,23,25,24,23,23,23,24,23,23,23,23,23
"FB66",27,31,33,57,42,53,32,43,41,26,12,27,42,20,29,29,27,29,30,36,29,35,26,35,37,38,40,16,45,56,46,46,21,35,46,79,46,57,60,59,40,55,40,43,47,49,61,60,60,37,46,25,25,23,20,15,39,30,35,34,39,16,14,16,28,15,13,27,41,41,13,23,56,37,13,0,33,33,33,63,51,64,51,15,35,35,57,13,12,39,38,18,18,34,36,63,59,49,51,52,25,26,48,60,51,61,59,38,36,44,45,45,34,22,22,23,15,15,16,20,17,25,11,19,23,28,12,28,30,36,22,13,20,10,18,25,27,26,20,23,14,24,27,24,18,23,19,29,26,17,19,12,14,14,12,13,14,20,19,18,24,20,43,34,36,36,15,15,15,16,15,15,20,18,15,16,31,17,33,56,28,53,13,31,13,13,13,33,32,13,17,17,23,22,18,18,14,16,14,14,14,18,19,14,29,11,20,41,54,37,37,14,14,17,12,11,12,12,19,12,13,14,15,12,13,29,15,11,11,10,12,10,12,12,10,42,34,10,10,12,11,14,10,15,16,11,13,12,13,11,11,12,12,13,13,12,13,12,13,16,12,10,13,12,12,11,14,14,13,12,11,10,10,11,36,20,41,11,15,14,10,12,14,10,10,10,10,11,14,15,14,12,21,44,15,11,12,12,11,17,14,13,15,13,17,13,10,10,11,10,11,10,11,11,15,10,13,16,16,13,11,11,10,10,12,11,10,10,10,10,18,10,12,11,12,10,12,11,10,10,10,11,10,10,10,10,10
"1753",42,34,40,62,55,68,47,58,56,41,27,42,57,35,44,44,42,44,45,51,44,50,41,50,52,53,55,31,60,71,61,61,36,50,61,92,61,72,75,74,55,70,55,56,60,62,72,75,75,40,53,38,38,38,35,30,52,35,46,43,52,31,29,31,43,30,28,42,56,56,28,40,61,36,44,33,0,48,48,80,66,81,66,30,42,42,72,28,27,54,53,33,33,49,47,78,72,58,64,65,40,41,67,77,66,76,76,53,51,59,62,60,49,33,33,36,30,30,31,35,32,38,26,34,34,39,27,39,41,37,35,28,33,25,33,40,42,41,35,36,27,39,42,37,31,38,34,44,39,30,34,27,29,29,27,28,29,35,34,33,39,33,58,49,51,51,30,30,30,31,30,30,35,33,30,31,46,32,48,71,43,66,28,44,28,28,28,46,45,28,32,32,38,37,33,33,29,31,29,29,29,33,34,29,44,26,35,56,67,52,52,29,29,32,27,26,27,27,34,27,28,29,30,27,28,34,30,26,26,25,27,25,27,27,25,57,49,25,25,27,26,29,25,30,31,26,28,27,28,26,26,27,27,28,28,27,28,27,28,31,27,25,28,27,27,26,29,29,28,27,26,25,25,26,51,33,56,26,30,29,25,27,29,25,25,25,25,26,29,30,29,27,36,59,30,26,27,27,26,32,29,28,30,28,32,28,25,25,26,25,26,25,26,26,30,25,28,31,31,28,26,26,25,25,27,26,25,25,25,25,33,25,27,26,27,25,27,26,25,25,25,26,25,25,25,25,25
"F278",44,48,48,74,57,62,45,56,54,37,27,36,57,35,42,42,42,44,43,47,42,46,39,48,50,51,53,31,58,67,57,55,36,50,57,92,57,72,75,74,55,70,55,58,62,64,76,75,75,52,63,40,40,40,37,30,52,45,50,49,52,31,29,31,43,30,28,42,54,54,28,40,73,52,44,33,48,0,2,78,62,79,62,28,50,50,66,28,27,54,53,33,33,49,53,78,74,62,62,63,40,41,65,75,66,76,74,51,49,59,60,58,49,37,37,38,30,30,31,35,32,40,26,34,36,41,27,43,45,57,37,28,35,25,33,40,42,41,35,38,29,39,42,39,33,38,34,44,41,32,32,27,29,29,27,28,29,35,34,33,39,35,52,49,47,47,30,30,30,31,30,30,35,29,30,31,46,32,48,71,45,68,28,46,28,28,28,46,45,28,32,32,38,37,33,33,29,31,29,29,29,33,34,29,38,26,35,50,69,52,52,29,29,32,25,26,27,27,34,27,28,29,30,27,28,44,30,26,26,25,27,25,27,27,25,57,47,25,25,27,26,29,25,30,31,26,28,27,28,26,26,27,27,28,28,27,28,27,28,31,27,25,28,27,27,26,27,27,28,27,26,25,25,26,51,35,56,24,30,25,25,25,25,25,25,25,25,26,29,30,29,27,36,59,26,26,27,27,26,32,29,28,30,28,32,28,25,25,26,25,26,25,26,26,30,25,28,31,31,28,26,26,25,25,25,26,25,25,25,25,33,25,27,26,27,25,27,26,25,25,25,26,25,25,25,23,23
"FB07",44,48,48,74,57,64,45,56,54,37,27,36,57,35,42,42,42,44,43,47,42,46,39,48,50,51,53,31,58,67,57,57,36,50,57,92,57,72,75,74,55,70,55,58,62,64,76,75,75,52,63,40,40,40,37,30,52,45,50,49,52,31,29,31,43,30,28,42,54,54,28,40,73,52,44,33,48,2,0,78,62,79,62,28,50,50,68,28,27,54,53,33,33,49,53,78,74,62,62,63,40,41,65,75,66,76,74,51,49,59,60,58,49,37,37,38,30,30,31,35,32,40,26,34,34,39,27,43,45,57,37,28,35,25,33,40,42,41,35,38,29,39,42,39,33,38,34,44,41,32,32,27,29,29,27,28,29,35,34,33,39,35,52,49,47,47,30,30,30,31,30,30,35,29,30,31,46,32,48,71,45,68,28,46,28,28,28,46,45,28,32,32,38,37,33,33,29,31,29,29,29,33,34,29,38,26,35,50,69,52,52,29,29,32,25,26,27,27,34,27,28,29,30,27,28,44,30,26,26,25,27,25,27,27,25,57,47,25,25,27,26,29,25,30,31,26,28,27,28,26,26,27,27,28,28,27,28,27,28,31,27,25,28,27,27,26,27,27,28,27,26,25,25,26,51,35,56,24,30,25,25,25,25,25,25,25,25,26,29,30,29,27,36,59,26,26,27,27,26,32,29,28,30,28,32,28,25,25,26,25,26,25,26,26,30,25,28,31,31,28,26,26,25,25,25,26,25,25,25,25,33,25,27,26,27,25,27,26,25,25,25,26,25,25,25,23,23
"C548",76,80,80,106,89,98,77,90,88,73,59,74,87,67,76,76,74,76,77,85,76,84,73,82,84,85,87,63,86,95,89,89,68,82,81,116,81,98,103,102,85,100,85,90,88,96,102,99,99,84,95,72,72,72,69,62,84,77,82,81,84,63,61,63,75,62,60,74,88,88,60,72,105,84,76,63,80,78,78,0,94,1,94,62,82,82,102,60,59,74,73,65,65,81,85,94,102,96,92,93,72,73,79,73,88,90,72,83,79,91,94,84,77,69,69,70,62,62,63,67,64,72,58,66,70,75,59,75,77,89,69,60,67,57,61,72,70,73,67,70,61,71,74,71,65,70,66,76,73,64,66,59,61,61,59,60,61,67,66,65,71,67,84,81,81,81,62,62,62,63,62,62,67,65,62,63,70,64,80,97,77,90,60,78,60,60,60,80,79,60,64,64,70,69,65,65,61,63,61,61,61,65,66,61,74,58,67,82,95,70,70,61,61,62,59,58,59,59,66,59,60,61,62,59,60,76,62,58,58,57,59,57,59,59,57,79,75,57,57,59,58,61,57,62,63,58,60,59,60,58,58,59,59,60,60,59,60,59,60,63,59,57,60,59,59,58,61,61,60,59,58,57,57,58,77,67,78,58,62,61,57,59,61,57,57,57,57,58,61,62,61,59,68,85,62,58,59,59,58,64,61,60,62,60,64,60,57,57,58,57,58,57,58,58,62,57,60,63,63,60,58,58,57,57,59,58,57,57,57,57,65,57,59,58,59,57,59,58,57,57,57,58,57,57,57,57,57
"C655",62,66,66,92,75,82,65,74,72,55,45,56,67,53,58,58,60,62,59,63,58,62,59,60,62,65,67,49,74,87,79,79,54,66,73,106,73,86,91,90,61,86,61,74,80,80,94,93,93,70,81,58,58,58,55,48,72,63,68,67,72,49,47,49,61,48,46,60,70,70,46,58,91,70,62,51,66,62,62,94,0,95,2,48,68,68,90,46,45,70,69,51,51,63,71,88,86,66,76,77,58,59,83,93,82,92,92,69,67,69,80,76,67,55,55,54,48,48,49,53,50,56,44,52,56,61,45,61,63,71,55,46,53,43,51,58,58,59,53,56,47,57,60,57,51,56,52,62,57,50,50,43,45,47,45,46,47,53,52,51,57,51,62,65,67,67,48,40,40,49,48,48,49,49,48,49,64,50,66,89,63,86,44,64,46,46,46,56,55,46,50,50,56,55,51,51,47,49,47,47,47,51,52,47,60,44,53,62,87,64,64,47,47,44,45,44,45,45,52,45,46,47,48,45,46,62,48,44,44,43,45,43,45,45,43,71,65,43,43,45,44,47,43,48,49,44,46,45,46,44,44,45,45,46,46,45,46,45,46,47,45,43,46,45,45,44,47,47,44,45,44,43,43,44,67,53,74,44,48,47,43,45,47,43,43,43,43,44,47,48,47,45,54,77,46,44,45,45,44,48,47,46,48,46,50,46,43,43,44,43,44,43,44,44,48,43,46,49,49,46,44,44,43,43,45,44,43,43,43,43,51,43,45,44,43,43,45,44,43,43,43,44,43,43,43,43,43
"FB54",77,81,81,107,90,99,78,91,89,74,60,75,88,68,77,77,75,77,78,86,77,85,74,83,85,86,88,64,87,96,90,90,69,83,82,117,82,99,104,103,86,101,86,91,89,97,103,100,100,85,96,73,73,73,70,63,85,78,83,82,85,64,62,64,76,63,61,75,89,89,61,73,106,85,77,64,81,79,79,1,95,0,95,63,83,83,103,61,60,75,74,66,66,82,86,95,103,97,93,94,73,74,80,74,89,91,73,84,80,92,95,85,78,70,70,71,63,63,64,68,65,73,59,67,71,76,60,76,78,90,70,61,68,58,62,73,69,74,68,71,62,72,75,72,66,71,67,77,74,65,67,60,62,62,60,61,62,68,67,66,72,68,85,82,82,82,63,63,63,64,63,63,68,66,63,64,71,65,81,98,78,91,61,79,61,61,61,81,80,61,65,65,71,70,66,66,62,64,62,62,62,66,67,62,75,59,68,83,96,71,71,62,62,63,60,59,60,60,67,60,61,62,63,60,61,77,63,59,59,58,60,58,60,60,58,80,76,58,58,60,59,62,58,63,64,59,61,60,61,59,59,60,60,61,61,60,61,60,61,64,60,58,61,60,60,59,62,62,61,60,59,58,58,59,78,68,79,59,63,62,58,60,62,58,58,58,58,59,62,63,62,60,69,86,63,59,60,60,59,65,62,61,63,61,65,61,58,58,59,58,59,58,59,59,63,58,61,64,64,61,59,59,58,58,60,59,58,58,58,58,66,58,60,59,60,58,60,59,58,58,58,59,58,58,58,58,58
